Дата;Цена;Откр;Макс;Мин;Объём;Изм %
31.12.2020;7766;7828.5;7847;7733.5;22.88K;-0.0104
30.12.2020;7847.5;7826.25;7893.75;7807;21.22K;-0.0015
29.12.2020;7859.5;7886.5;7917;7817.5;27.89K;0.0092
24.12.2020;7787.5;7831.25;7868.75;7783.5;16.63K;-0.0071
23.12.2020;7843.5;7752.25;7853.25;7674;25.93K;0.0125
22.12.2020;7746.5;7879.5;7918;7728.5;32.71K;-0.0127
21.12.2020;7846.5;7979.5;7989;7822;38.23K;-0.0173
18.12.2020;7985;7921.75;8027;7902;41.25K;0.0082
17.12.2020;7920;7852.25;7953.5;7849.25;37.65K;0.0107
16.12.2020;7836;7795.75;7876.25;7786;24.50K;0.0069
15.12.2020;7782.5;7746.5;7830.75;7717.75;23.54K;0.0041
14.12.2020;7751;7782.5;7829.25;7735;26.36K;-0.0028
11.12.2020;7772.5;7889.5;7971;7701.25;51.53K;-0.0134
10.12.2020;7878;7678.5;7899.5;7673.25;41.32K;0.0201
09.12.2020;7723;7706;7778.5;7691;29.06K;0.0031
08.12.2020;7699;7704.5;7717.25;7635.5;27.19K;-0.0014
07.12.2020;7710;7766;7799;7659;26.55K;-0.0065
04.12.2020;7760.5;7668;7773.5;7663.25;33.76K;0.0112
03.12.2020;7674.5;7667.5;7739.75;7629.75;34.46K;0.0002
02.12.2020;7673;7665.5;7721.5;7566.25;35.21K;-0.0028
01.12.2020;7694.5;7595;7742.25;7581.5;38.71K;0.0151
30.11.2020;7580;7518.5;7707.75;7514.75;71.76K;0.0107
27.11.2020;7499.5;7420;7519.5;7383.5;36.02K;0.0131
26.11.2020;7402.5;7319.25;7423.25;7319.25;34.71K;0.014
25.11.2020;7300;7326;7358.5;7253.5;30.02K;0.001
24.11.2020;7293;7213.5;7326.75;7208.75;40.34K;0.0161
23.11.2020;7177.5;7272.5;7286;7158.75;32.38K;-0.0137
20.11.2020;7277.5;7093.5;7291.25;7080.75;52.31K;0.026
19.11.2020;7093;7046;7094.5;7016;30.52K;0.0006
18.11.2020;7088.5;7052.25;7147.5;7041;30.67K;0.0029
17.11.2020;7068;7107.25;7135.25;7012;39.66K;-0.0056
16.11.2020;7108;7029.5;7177.5;7021.25;70.48K;0.018
13.11.2020;6982.5;6912.5;7022.25;6896.75;31.18K;0.007
12.11.2020;6934;6898.5;6965.5;6885.75;25.42K;0.0071
11.11.2020;6885;6944.25;6991;6857;23.81K;-0.0068
10.11.2020;6932;6918.25;6963.25;6832.75;39.88K;0.0023
09.11.2020;6916;6966.5;7053.25;6911.5;47.88K;-0.0044
06.11.2020;6946.5;6846;6976.75;6833.25;32.58K;0.0137
05.11.2020;6852.5;6832.75;6890.5;6779.25;31.72K;0.0022
04.11.2020;6837.5;6726;6848.25;6670.75;46.25K;0.0032
03.11.2020;6816;6799.5;6854.5;6778.5;26.61K;0.008
